comment_id,sentiment,respect,insult,humiliate,status,dehumanize,violence,genocide,attack_defend,hatespeech,hate_speech_score,annotator_race,annotator_severity,annotator_age,annotator_gender,comment_text
39773,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,-6.52,White,-0.35,30.0,Women,The trans women reading this tweet right now is beautiful
5937,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,2.0,0.0,-2.96,White,-0.37,38.0,Self Describe,"I'm no historian, but if my factual sources are correct there were still major discrimination, with a famous example being the instanbul pogroms, which basically resulted in almost all of the ethnic Greeks moving from the region. IIRC correctly there are maybe just a couple of thousands left in a country with millions of inhabitants. (Not that this is of course if my sources are factually correct)"
12063,3.0,4.0,4.0,2.0,2.0,3.0,0.0,0.0,2.0,0.0,-0.14,Other,0.13,36.0,Prefer Not To Say,Fuck her right in the pussy.
47777,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,-3.9,White,0.36,25.0,Men,"Yes indeed. She sort of reminds me of the elder lady that played the part in the movie ""Titanic"" who was telling her story!!! And I wouldn't have wanted to cover who I really am!! I would be proud!!!! WE should be proud of our race no matter what it is!!"
37565,4.0,4.0,4.0,3.0,4.0,3.0,0.0,0.0,3.0,0.0,0.72,Asian,0.52,36.0,Non Binary,"@kenzierlemmons @DupeTask @JackPosobiec Since you have apparently never served in the military, let me explain to you that homosexual have NO place in combat units! At most, perhaps they can perform some support function in REAR echelons."
33640,4.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,-2.97,White,0.23,41.0,Men,@pastorlocke She was a refugee you racist piece of shit! The United States caused her homeland to be destroyed you huge pile of human waste!
20043,4.0,4.0,4.0,4.0,3.0,3.0,0.0,0.0,3.0,0.0,0.46,White,-0.24,31.0,Men,"im ,i hate black people and minorities"
20057,4.0,4.0,4.0,3.0,3.0,0.0,4.0,4.0,4.0,2.0,2.97,White,0.6,62.0,Women,"This is why we won, because Americans know that giving these people power for another day is unacceptable. We need to fight back against the Synagogue and their White/Mexican/Black Communist useful idiots they get to do their dirty work for them. I am armed and I am ready for these scum if they try to resist being sent back to Mexico/Guatemala all these illegal invaders that want to invade our nations and change it to suit their savage ways. Illegals must die."
20007,4.0,4.0,4.0,4.0,3.0,3.0,3.0,1.0,4.0,2.0,2.45,White,0.13,29.0,Women,Every slant in #LosAngeles should be deported. Those scum have no right to be here. Chinatown should be bulldozed.
20048,4.0,4.0,4.0,4.0,3.0,4.0,1.0,0.0,4.0,0.0,-2.36,White,-0.86,37.0,Women,">Some incels give a lot but get nothing back   And so should be rewarded with pussy? Are you aware that said pussy is attached to a fully realized human being with the exact same natural rights to happiness as you? And that she does not deserve to be forced to have sex with anyone she finds undesirable?    Do you get that women have the same right to reject men that men have to reject women?    How committed are you to the belief that women are holes, rather than human beings deserving of respect?"
48094,3.0,3.0,3.0,3.0,3.0,3.0,0.0,0.0,3.0,0.0,-0.88,White,-0.4,31.0,Women,"All us dudes have dated a chick that tried too hard to appear smart. They talk to much, they are boring and stupid. They are duds in the sack. Tulsi,... where's that quiet thoughtful girl from Hawaii? I like her. This Kamala is a scripted dud. Tulsi is the special one."
20018,4.0,4.0,4.0,4.0,2.0,4.0,2.0,2.0,2.0,1.0,1.27,White,0.61,25.0,Men,"RT @JihadistJoe: We Muslims have no military honour whatsoever, we are sub human savages that slaughter unarmed men, women & children http:…"
37045,3.0,3.0,2.0,2.0,4.0,4.0,2.0,2.0,3.0,0.0,-1.29,White,-0.27,26.0,Men,They should use this on white male domestic terrorist cells.
20017,4.0,4.0,4.0,3.0,4.0,4.0,2.0,1.0,3.0,2.0,1.47,White,0.36,33.0,Women,"My God look at these BARBARIC PPL. And these pigs all watching. They r a very, very sick culture. And Omar and Rashid want this crap here. This is America not the Middle East. Round them up and send them home."
40809,4.0,4.0,4.0,4.0,4.0,3.0,3.0,0.0,3.0,2.0,2.6,White,0.52,41.0,Women,Look at this pussy playing in solo. Nigga join a public lobby you'll be dead within minutes😂

